Company,Item,Category,Calories,Total_Fat_g,Saturated_Fat_g,Trans_Fat_g,Cholesterol_mg,Sodium_mg,Carbs_g,Fiber_g,Sugars_g,Protein_g
McDonalds,POWERade Mountain Blast (Medium),Drink,150.0,0.0,0.0,0.0,0,130,39,0,31,0.0
McDonalds,POWERade Mountain Blast (Large),Drink,220.0,0.0,0.0,0.0,0,190,58,0,46,0.0
McDonalds,Iced Tea (Child),Drink,0.0,0.0,0.0,0.0,0,5,0,0,0,0.0
McDonalds,Iced Tea (Small),Drink,0.0,0.0,0.0,0.0,0,10,0,0,0,0.0
McDonalds,Iced Tea (Medium),Drink,0.0,0.0,0.0,0.0,0,15,0,0,0,0.0
McDonalds,Iced Tea (Large),Drink,0.0,0.0,0.0,0.0,0,20,1,0,0,0.0
McDonalds,Coffee (Small),Drink,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0
McDonalds,Coffee (Large),Drink,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0
McDonalds,Coffee Cream,Condiment,20.0,2.0,1.5,0.0,10,15,0,0,0,0.0
McDonalds,Sugar Packet,Condiment,15.0,0.0,0.0,0.0,0,0,4,0,4,0.0
McDonalds,EQUAL 0 Calorie Sweetener,Condiment,0.0,0.0,0.0,0.0,0,0,1,0,1,0.0
McDonalds,SPLENDA No Calorie Sweetener,Condiment,0.0,0.0,0.0,0.0,0,0,1,0,1,0.0
McDonalds,Iced Coffee– Caramel (Small),Drink,130.0,5.0,3.5,0.0,20,80,21,0,20,1.0
McDonalds,Iced Coffee– Caramel (Medium),Drink,190.0,8.0,5.0,0.0,30,115,27,0,27,2.0
McDonalds,Iced Coffee– Caramel (Large),Drink,270.0,11.0,7.0,0.0,40,160,41,0,41,2.0
McDonalds,Iced Coffee– Hazelnut (Small),Drink,130.0,5.0,3.5,0.0,20,40,21,0,21,1.0
McDonalds,Iced Coffee– Hazelnut (Medium),Drink,190.0,8.0,5.0,0.0,30,60,29,0,29,2.0
McDonalds,Iced Coffee– Hazelnut (Large),Drink,270.0,11.0,7.0,0.0,40,85,43,0,43,2.0
McDonalds,Iced Coffee– Regular (Small),Drink,140.0,5.0,3.5,0.0,20,40,22,0,22,1.0
McDonalds,Iced Coffee– Regular (Medium),Drink,200.0,8.0,5.0,0.0,30,60,30,0,30,2.0
McDonalds,Iced Coffee– Regular (Large),Drink,280.0,11.0,7.0,0.0,40,85,45,0,45,2.0
McDonalds,Iced Coffee– Vanilla (Small),Drink,130.0,5.0,3.5,0.0,20,40,21,0,21,1.0
McDonalds,Iced Coffee– Vanilla (Medium),Drink,190.0,8.0,5.0,0.0,30,60,29,0,28,2.0
McDonalds,Iced Coffee– Vanilla (Large),Drink,270.0,11.0,7.0,0.0,40,80,43,0,43,2.0
McDonalds,Iced Coffee with Sugar Free Vanilla Syrup (Small),Drink,60.0,5.0,3.5,0.0,20,70,8,0,1,1.0
McDonalds,Iced Coffee with Sugar Free Vanilla Syrup (Medium),Drink,90.0,8.0,5.0,0.0,30,100,11,0,2,2.0
McDonalds,Iced Coffee with Sugar Free Vanilla Syrup (Large),Drink,120.0,11.0,7.0,0.0,40,140,16,0,2,2.0
McDonalds,Sweet Tea (Child),Drink,110.0,0.0,0.0,0.0,0,5,27,0,27,0.0
McDonalds,Sweet Tea (Large),Drink,280.0,0.0,0.0,0.0,0,15,69,0,69,1.0
McDonalds,Sweet Tea (Small),Drink,150.0,0.0,0.0,0.0,0,10,36,0,36,1.0
McDonalds,Sweet Tea (Medium),Drink,180.0,0.0,0.0,0.0,0,10,45,0,45,1.0
McDonalds,Nonfat Cappuccino (Small),Drink,60.0,0.0,0.0,0.0,5,85,9,0,9,6.0
McDonalds,Nonfat Cappuccino (Medium),Drink,80.0,0.0,0.0,0.0,5,110,12,0,12,8.0
McDonalds,Nonfat Cappuccino (Large),Drink,90.0,0.0,0.0,0.0,5,130,13,0,13,9.0
McDonalds,Nonfat Latte (Small),Drink,90.0,0.0,0.0,0.0,5,115,13,0,13,9.0
McDonalds,Nonfat Latte (Medium),Drink,110.0,0.0,0.0,0.0,5,140,15,0,15,10.0
McDonalds,Nonfat Latte (Large),Drink,120.0,0.0,0.0,0.0,5,160,18,0,18,12.0
McDonalds,Nonfat Caramel Cappuccino (Small),Drink,150.0,0.0,0.0,0.0,5,120,33,0,32,5.0
McDonalds,Nonfat Caramel Cappuccino (Medium),Drink,190.0,0.0,0.0,0.0,5,150,41,0,41,6.0
McDonalds,Nonfat Caramel Cappuccino (Large),Drink,230.0,0.0,0.0,0.0,5,180,49,0,49,7.0
McDonalds,Nonfat Caramel Latte (Small),Drink,170.0,0.0,0.0,0.0,5,150,36,0,36,7.0
McDonalds,Nonfat Caramel Latte (Medium),Drink,220.0,0.0,0.0,0.0,5,180,45,0,45,9.0
McDonalds,Nonfat Caramel Latte (Large),Drink,260.0,0.0,0.0,0.0,5,220,53,0,53,10.0
McDonalds,Nonfat Hazelnut Cappuccino (Small),Drink,150.0,0.0,0.0,0.0,5,70,34,0,34,5.0
McDonalds,Nonfat Hazelnut Cappuccino (Medium),Drink,190.0,0.0,0.0,0.0,5,90,43,0,43,6.0
McDonalds,Nonfat Hazelnut Cappuccino (Large),Drink,230.0,0.0,0.0,0.0,5,100,51,0,51,7.0
McDonalds,Nonfat Hazelnut Latte (Small),Drink,180.0,0.0,0.0,0.0,5,95,37,0,37,7.0
McDonalds,Nonfat Hazelnut Latte (Medium),Drink,220.0,0.0,0.0,0.0,5,115,46,0,46,9.0
McDonalds,Nonfat Hazelnut Latte (Large),Drink,260.0,0.0,0.0,0.0,5,135,55,0,55,10.0
McDonalds,Nonfat Vanilla Cappuccino (Small),Drink,150.0,0.0,0.0,0.0,5,70,34,0,34,5.0
McDonalds,Nonfat Vanilla Cappuccino (Medium),Drink,190.0,0.0,0.0,0.0,5,90,42,0,42,6.0
McDonalds,Nonfat Vanilla Cappuccino (Large),Drink,230.0,0.0,0.0,0.0,5,100,51,0,51,7.0
McDonalds,Nonfat Vanilla Latte (Small),Drink,180.0,0.0,0.0,0.0,5,95,37,0,37,7.0
McDonalds,Nonfat Vanilla Latte (Medium),Drink,220.0,0.0,0.0,0.0,5,115,46,0,46,9.0
McDonalds,Nonfat Vanilla Latte (Large),Drink,260.0,0.0,0.0,0.0,5,135,55,0,55,10.0
McDonalds,Nonfat Cappuccino with Sugar Free Vanilla Syrup (Small),Drink,50.0,0.0,0.0,0.0,5,100,15,0,8,5.0
McDonalds,Nonfat Cappuccino with Sugar Free Vanilla Syrup (Medium),Drink,70.0,0.0,0.0,0.0,5,130,19,0,10,7.0
McDonalds,Nonfat Cappuccino with Sugar Free Vanilla Syrup (Large),Drink,80.0,0.0,0.0,0.0,5,150,22,0,11,8.0
McDonalds,Nonfat Latte with Sugar Free Vanilla Syrup (Small),Drink,80.0,0.0,0.0,0.0,5,130,18,0,11,7.0
McDonalds,Nonfat Latte with Sugar Free Vanilla Syrup (Medium),Drink,90.0,0.0,0.0,0.0,5,160,22,0,13,9.0
McDonalds,Nonfat Latte with Sugar Free Vanilla Syrup (Large),Drink,110.0,0.0,0.0,0.0,5,190,27,0,15,11.0
McDonalds,Mocha with Nonfat Milk (Small),Drink,240.0,5.0,3.0,0.0,5,130,41,0,34,7.0
McDonalds,Mocha with Nonfat Milk (Medium),Drink,280.0,6.0,3.5,0.0,10,160,50,0,42,8.0
McDonalds,Mocha with Nonfat Milk (Large),Drink,330.0,6.0,3.5,0.0,10,190,58,0,50,10.0
